tweet_id,retweet_count,favorite_count
844580511645339650,3330,17127
844223788422217728,2334,14169
843981021012017153,3105,15738
843856843873095681,4915,22276
843604394117681152,2928,17564
843235543001513987,6421,22383
842846295480000512,3823,15836
842765311967449089,1355,7018
842535590457499648,3725,18843
842163532590374912,6174,25483
842115215311396866,3224,14586
841833993020538882,16310,0
841680585030541313,8247,26718
841439858740625411,3913,13157
841320156043304961,5793,20614
841314665196081154,4998,16508
841077006473256960,5653,23847
840761248237133825,1868,0
840728873075638272,17229,0
840698636975636481,2,186
840696689258311684,1043,12828
840632337062862849,1868,9360
840370681858686976,4848,17179
840268004936019968,6118,20121
839990271299457024,2451,14020
839549326359670784,8307,28763
839290600511926273,154,0
839239871831150596,6988,28439
838952994649550848,4247,20505
838921590096166913,2219,11674
838916489579200512,36,0
838831947270979586,11799,0
838561493054533637,1414,11420
838476387338051585,5143,23624
838201503651401729,10780,0
838150277551247360,354,1758
838085839343206401,0,147
838083903487373313,3374,18438
837820167694528512,8395,35795
837482249356513284,471,4015
837471256429613056,2451,13385
837366284874571778,5668,22130
837110210464448512,2560,16780
836989968035819520,2463,13321
836753516572119041,4939,20141
836677758902222849,2378,13217
836648853927522308,585,0
836397794269200385,29615,0
836380477523124226,3175,15434
836260088725786625,4596,22275
836001077879255040,4597,20012
835685285446955009,8728,0
835574547218894849,3882,18654
835536468978302976,1825,0
835309094223372289,22546,0
835297930240217089,3222,17227
835264098648616962,1825,8108
835246439529840640,78,2192
835172783151792128,6154,27412
835152434251116546,3239,23565
834931633769889797,1768,11370
834786237630337024,5892,22230
834574053763584002,2722,14357
834477809192075265,11450,0
834458053273591808,1801,10085
834209720923721728,5134,21629
834167344700198914,3905,16541
834089966724603904,2283,10545
834086379323871233,2383,13711
833863086058651648,2582,14078
833826103416520705,4008,18886
833732339549220864,231,0
833722901757046785,3450,21745
833479644947025920,2219,15601
833124694597443584,5202,21209
832998151111966721,2382,13962
832769181346996225,40,0
832757312314028032,3891,17681
832682457690300417,3157,12478
832645525019123713,559,3069
832636094638288896,3002,16650
832397543355072512,2393,12542
832369877331693569,3430,18044
832273440279240704,2512,11881
832215909146226688,6663,0
832215726631055365,10104,0
832088576586297345,2,70
832040443403784192,10459,0
832032802820481025,4992,18741
831939777352105988,6603,25224
831926988323639298,35,360
831911600680497154,7025,29101
831670449226514432,1951,10994
831650051525054464,2087,7556
831552930092285952,2472,9457
831322785565769729,1645,9692
831315979191906304,1202,6870
831309418084069378,2629,12343
831262627380748289,2210,12545
830956169170665475,1612,8382
830583320585068544,18135,70432
830173239259324417,6151,0
830097400375152640,3240,10348
829878982036299777,5417,0
829861396166877184,2110,12880
829501995190984704,11450,33443
829449946868879360,2194,11031
829374341691346946,10051,36466
829141528400556032,7999,25817
829011960981237760,17527,55849
828801551087042563,3670,0
828770345708580865,6334,26942
828708714936930305,12127,38587
828650029636317184,1457,10010
828409743546925057,1245,6633
828408677031882754,1388,8070
828381636999917570,2409,13309
828376505180889089,1149,7784
828372645993398273,3185,13228
828361771580813312,183,2317
